title,href
A Short Guide to Iraq (1943),https://www.hsdl.org/?view&did=477739
Show HN: Gorse – An Out-of-the-box open-source Recommender System,https://gorse.io/
112 Gripes About the French,https://en.wikipedia.org/wiki/112_Gripes_About_the_French
Elixir Protocols vs. Clojure Multimethods,https://mattmower.com/2021/07/17/elixir-protocols-vs-clojure-multimethods/
"To help gamers on Twitch, Dr. K balances mental health advice and medical ethics",https://www.npr.org/2021/01/13/956315576/psychiatrist-criticized-for-addressing-mental-health-issues-on-twitch
Simulating the Apollo 11 LM Ascent Stage Orbit [pdf],https://github.com/RogerTwank/Eagle/blob/master/Eagle%20ReadMe.pdf
ML Benchmark Lottery [pdf],https://arxiv.org/abs/2107.07002
UCSF Launches Translational Psychedelic Research (TrPR) Program,https://www.lucid.news/ucsf-launches-translational-psychedelic-research-trpr-program/
Magnetism Simulations: Three Months in Monte Carlo,http://bit-player.org/2021/three-months-in-monte-carlo
Public Suffix List Problems (2019),https://github.com/sleevi/psl-problems
Master’s degrees are the second biggest scam in higher education?,https://slate.com/business/2021/07/masters-degrees-debt-loans-worth-it.html
Windows Print Spooler Elevation of Privilege Vulnerability (CVE-2021-34481),https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-34481
Economic history of World War II and the 18th Brumaire,https://adamtooze.substack.com/p/chartbook-newsletter-25
Tesorio (YC S15) is hiring – join our 100% distributed fintech team,https://www.tesorio.com/careers#job-openings
Show HN: Make spaced-repetition flashcards,https://zorbi.cards
Jet Li rejected The Matrix as he didn’t want his kung fu moves recorded (2018),https://www.scmp.com/abacus/culture/article/3028904/jet-li-says-he-rejected-matrix-because-he-didnt-want-his-kung-fu
Ask HN: Anyone here built successful SaaS/startup just for money?,item?id=27853352
Google Drive bans distribution of “misleading content”,https://support.google.com/docs/answer/148505#zippy=%2Cmisleading-content
Design an Enclosure Using Photogrammetry,https://smartsolutions4home.com/how-to-design-enclosure-using-photogrammetry/
Show HN: A low power 1U Raspberry Pi cluster server for inexpensive colocation,https://github.com/pawl/raspberry-pi-1u-server
The Alexander: Why did you build such a long piano?,https://www.alexanderpiano.nz/page/the-alexander-piano
Is Apollo 11’s lunar module still in orbit around the moon? [video],https://www.youtube.com/watch?v=dBHbLV7xEhc
Linux: Using goto In Kernel Code (2003),https://web.archive.org/web/20130305022050/http://kerneltrap.org/node/553/2131
BlenderBot 2.0: A chatbot that builds long-term memory and searches the internet,https://ai.facebook.com/blog/blender-bot-2-an-open-source-chatbot-that-builds-long-term-memory-and-searches-the-internet
Runbooks for Better Incident Management,https://ashpatel.substack.com/p/runbooks-for-better-incident-management
"Apple Macintosh, Misc Memories",http://www.byrdsight.com/apple-macintosh/
Why we're blind to the color blue,https://calebkruse.com/10-projects/seeing-blue/
First complementary vertical organic transistors reach GHz speeds,https://www.eenewseurope.com/news/first-complementary-vertical-organic-transistors-reach-ghz-speeds
Hubble telescope has new lease on life after computer swap appears to fix glitch,https://www.sciencemag.org/news/2021/07/hubble-back-famed-space-telescope-has-new-lease-life-after-computer-swap-appears-fix
Ethereum London Mainnet Announcement,https://blog.ethereum.org/2021/07/15/london-mainnet-announcement/
